,Notation,Unit,Value,Lower Bound,Upper Bound,ParameterType
PropensityToConsumeIncome,:math:`\alpha_1`,.,0.6,0.0,1.0,Parameter
PropensityToConsumeSavings,:math:`\alpha_2`,.,0.4,0.0,1.0,Parameter
TaxRate,:math:`\theta`,% per period,0.2,0.0,1.0,Parameter
WealthShareBills_Constant,:math:`\lambda_0`,.,0.635,0.0,1.0,Parameter
WealthShareBills_Income,:math:`\lambda_2`,.,0.01,0.0,1.0,Parameter
WealthShareBills_InterestRate,:math:`\lambda_1`,.,5.0,0.0,10.0,Parameter
device,,,cpu,,,HyperParameter
requires_grad,,,False,,,HyperParameter
scenario_trigger,,,0,,,HyperParameter
sectors,,,"['Household', 'Production', 'Government', 'CentralBank']",,,HyperParameter
seed,,,42,,,HyperParameter
timesteps,,,100,,,HyperParameter
timesteps_initialization,,,1,,,HyperParameter
